file,record_index,domains,methods,numeric_fields
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,14,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.63; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.999836136769996; results.neural_network.test_r2=-2.490759444498228; results.neural_network.time_s=0.602; results.neural_network.extrapolation_gap=3.490595581268224; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.639; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,15,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.815; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9998883141740647; results.neural_network.test_r2=-0.15309614165938612; results.neural_network.time_s=0.464; results.neural_network.extrapolation_gap=1.1529844558334508; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.505; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,16,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.677; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9995551620458948; results.neural_network.test_r2=0.5915741159401042; results.neural_network.time_s=0.503; results.neural_network.extrapolation_gap=0.40798104610579056; results.neural_network.stability_score=0.5915741159401042; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.722; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,17,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.821; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9998387547228396; results.neural_network.test_r2=0.9076318594799766; results.neural_network.time_s=0.678; results.neural_network.extrapolation_gap=0.09220689524286296; results.neural_network.stability_score=0.9076318594799766; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.589; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,18,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.566; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9999326327754254; results.neural_network.test_r2=-0.4640801471059799; results.neural_network.time_s=0.546; results.neural_network.extrapolation_gap=1.4640127798814053; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.533; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,19,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.659; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9999202511296305; results.neural_network.test_r2=-0.5863501505475996; results.neural_network.time_s=0.4; results.neural_network.extrapolation_gap=1.58627040167723; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.562; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,20,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.46; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9999394832375538; results.neural_network.test_r2=-2.7952080186699257; results.neural_network.time_s=0.897; results.neural_network.extrapolation_gap=3.7951475019074796; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.458; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,21,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=2.044; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.time_s=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.774; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,22,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.51; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9996284852680298; results.neural_network.test_r2=-0.11257324434006977; results.neural_network.time_s=0.422; results.neural_network.extrapolation_gap=1.1122017296080995; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.609; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,23,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=0.9999999999999184; results.pure_llm.test_r2=0.9999999999986611; results.pure_llm.time_s=2.253; results.pure_llm.extrapolation_gap=1.2573275753879898e-12; results.pure_llm.stability_score=0.9999999999986611; results.neural_network.train_r2=0.9994889258501423; results.neural_network.test_r2=-1.5585158086429476; results.neural_network.time_s=0.44; results.neural_network.extrapolation_gap=2.55800473449309; results.neural_network.stability_score=0.0; results.hybrid.train_r2=0.9999999999999184; results.hybrid.test_r2=0.9999999999986611; results.hybrid.time_s=1.6; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=1.2573275753879898e-12; results.hybrid.stability_score=0.9999999999986611
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,24,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=2.054; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9999214391860652; results.neural_network.test_r2=0.8965012245247327; results.neural_network.time_s=0.558; results.neural_network.extrapolation_gap=0.10342021466133255; results.neural_network.stability_score=0.8965012245247327; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.479; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,25,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.573; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.999928999566051; results.neural_network.test_r2=-2.5431617186866675; results.neural_network.time_s=0.52; results.neural_network.extrapolation_gap=3.5430907182527185; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=2.047; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,26,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.63; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9999387555639289; results.neural_network.test_r2=0.9936835313752976; results.neural_network.time_s=0.556; results.neural_network.extrapolation_gap=0.006255224188631225; results.neural_network.stability_score=0.9936835313752976; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.574; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,27,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.687; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.999908633139943; results.neural_network.test_r2=-3.560520253256171; results.neural_network.time_s=0.429; results.neural_network.extrapolation_gap=4.560428886396114; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.681; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,28,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=2.472; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9997256993263852; results.neural_network.test_r2=0.2710099968318107; results.neural_network.time_s=0.524; results.neural_network.extrapolation_gap=0.7287157024945745; results.neural_network.stability_score=0.2710099968318107; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.773; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,29,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=0.9990354677429901; results.pure_llm.test_r2=0.9540497985805871; results.pure_llm.time_s=1.834; results.pure_llm.extrapolation_gap=0.044985669162402986; results.pure_llm.stability_score=0.9540497985805871; results.neural_network.train_r2=0.9998884365092238; results.neural_network.test_r2=-2.590196481770117; results.neural_network.time_s=0.419; results.neural_network.extrapolation_gap=3.5900849182793406; results.neural_network.stability_score=0.0; results.hybrid.train_r2=0.9999969972297863; results.hybrid.test_r2=0.9997753953512148; results.hybrid.time_s=2.268; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.00022160187857145353; results.hybrid.stability_score=0.9997753953512148
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,30,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=0.9999999999999999; results.pure_llm.time_s=1.59; results.pure_llm.extrapolation_gap=1.1102230246251565e-16; results.pure_llm.stability_score=0.9999999999999999; results.neural_network.train_r2=0.9998990691829527; results.neural_network.test_r2=-0.022851140026644456; results.neural_network.time_s=0.469; results.neural_network.extrapolation_gap=1.022750209209597; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=0.9999999999999999; results.hybrid.time_s=2.063; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=1.1102230246251565e-16; results.hybrid.stability_score=0.9999999999999999
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,31,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.627; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9999411491642407; results.neural_network.test_r2=-2.647209759940879; results.neural_network.time_s=0.86; results.neural_network.extrapolation_gap=3.6471509091051195; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.667; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,32,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.97; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9997775899876249; results.neural_network.test_r2=-2.0963243420232724; results.neural_network.time_s=0.523; results.neural_network.extrapolation_gap=3.0961019320108973; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.76; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,33,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.798; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9997981131400462; results.neural_network.test_r2=0.07215179831558904; results.neural_network.time_s=0.457; results.neural_network.extrapolation_gap=0.9276463148244571; results.neural_network.stability_score=0.07215179831558904; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.722; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,34,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=2.056; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9999347442329893; results.neural_network.test_r2=0.9905717657741475; results.neural_network.time_s=0.438; results.neural_network.extrapolation_gap=0.00936297845884182; results.neural_network.stability_score=0.9905717657741475; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.799; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
